Cr,Mo,Nb,Ta,V,W,FCC_L12,BCC_B2
0.05,0.1,0.2,0.35,0.1,0.2,0,0.93088982
0.05,0.2,0.05,0.2,0.2,0.3,0,0.93076278
0.05,0.15,0.15,0.25,0.15,0.25,0,0.93075304
0.05,0.2,0.35,0.25,0.1,0.05,0,0.93068222
0.05,0.05,0.2,0.3,0.2,0.2,0,0.93062469
0.05,0.35,0.05,0.1,0.15,0.3,0,0.93056808
0.05,0.05,0.15,0.35,0.15,0.25,0,0.9305648
0.05,0.25,0.3,0.2,0.05,0.15,0,0.93050166
0.05,0.1,0.35,0.15,0.1,0.25,0,0.93047992
0.05,0.25,0.05,0.1,0.2,0.35,0,0.93039449
0.05,0.15,0.3,0.25,0.05,0.2,0,0.93039343
0.05,0.2,0.35,0.05,0.1,0.25,0,0.93036985
0.05,0.1,0.05,0.3,0.2,0.3,0,0.93024801
0.05,0.2,0.15,0.2,0.15,0.25,0,0.93024796
0.05,0.3,0.3,0.15,0.05,0.15,0,0.93024476
0.05,0.05,0.25,0.2,0.15,0.3,0,0.93019146
0.05,0.15,0.15,0.35,0.1,0.2,0,0.93012798
0.05,0.05,0.25,0.35,0.1,0.2,0,0.93005483
0.05,0.35,0.2,0.05,0.1,0.25,0,0.93002364
0.05,0.3,0.2,0.15,0.1,0.2,0,0.92989576
0.05,0.35,0.15,0.15,0.1,0.2,0,0.92989247
0.05,0.1,0.2,0.1,0.2,0.35,0,0.9298563
0.05,0.25,0.25,0.3,0.1,0.05,0,0.92983771
0.05,0.1,0.15,0.35,0.15,0.2,0,0.92978967
0.05,0.1,0.2,0.3,0.2,0.15,0,0.92978592
0.05,0.05,0.2,0.15,0.2,0.35,0,0.9297785
0.05,0.15,0.05,0.25,0.2,0.3,0,0.92973357
0.05,0.15,0.2,0.35,0.1,0.15,0,0.92972252
0.05,0.2,0.2,0.25,0.1,0.2,0,0.92969689
0.05,0.05,0.35,0.05,0.15,0.35,0,0.92969629
0.05,0.05,0.25,0.3,0.15,0.2,0,0.92957481
0.05,0.05,0.1,0.35,0.25,0.2,0,0.92955023
0.05,0.15,0.25,0.3,0.05,0.2,0,0.92952217
0.05,0.25,0.25,0.25,0.05,0.15,0,0.92940711
0.05,0.35,0.25,0.15,0.05,0.15,0,0.9294053
0.05,0.1,0.35,0.25,0.15,0.1,0,0.9292297
0.05,0.15,0.35,0.1,0.1,0.25,0,0.92918905
0.05,0.15,0.1,0.3,0.15,0.25,0,0.92918861
0.05,0.25,0.1,0.2,0.15,0.25,0,0.9291053
0.05,0.1,0.1,0.35,0.25,0.15,0,0.92908496
