Mo,Nb,Ta,V,W,FCC_L12,BCC_B2
0.3,0.15,0.15,0.3,0.1,0,0.60781669
0.25,0.25,0.1,0.3,0.1,0,0.60702699
0.35,0.1,0.15,0.3,0.1,0,0.60674674
0.2,0.35,0.05,0.3,0.1,0,0.60664015
0.05,0.35,0.15,0.35,0.1,0,0.60659688
0.15,0.2,0.2,0.25,0.2,0,0.60651257
0.1,0.25,0.15,0.2,0.3,0,0.6059827
0.15,0.1,0.25,0.2,0.3,0,0.6055492
0.1,0.05,0.3,0.25,0.3,0,0.60528837
0.35,0.15,0.1,0.3,0.1,0,0.60443256
0.2,0.05,0.3,0.25,0.2,0,0.60422002
0.05,0.3,0.15,0.3,0.2,0,0.60356932
0.2,0.35,0.05,0.35,0.05,0,0.60210475
0.05,0.35,0.1,0.25,0.25,0,0.60079395
0.1,0.2,0.25,0.35,0.1,0,0.60031223
0.05,0.3,0.05,0.3,0.3,0,0.59973006
0.2,0.1,0.25,0.25,0.2,0,0.59505132
0.15,0.15,0.2,0.2,0.3,0,0.59319849
0.15,0.35,0.05,0.25,0.2,0,0.59279162
0.1,0.3,0.15,0.3,0.15,0,0.59094814
0.05,0.1,0.25,0.3,0.3,0,0.59050587
0.2,0.15,0.2,0.25,0.2,0,0.5899073
0.25,0.05,0.1,0.3,0.3,0,0.58896334
0.15,0.2,0.15,0.2,0.3,0,0.58813905
0.2,0.2,0.15,0.25,0.2,0,0.58750874
0.2,0.3,0.05,0.25,0.2,0,0.58718968
0.2,0.25,0.1,0.25,0.2,0,0.58683596
0.25,0.1,0.05,0.3,0.3,0,0.58555554
0.1,0.2,0.1,0.35,0.25,0,0.58503495
0.35,0.1,0.1,0.2,0.25,0,0.58420783
0.2,0.05,0.3,0.3,0.15,0,0.58408413
0.2,0.25,0.05,0.2,0.3,0,0.58352961
0.1,0.25,0.2,0.35,0.1,0,0.58237787
0.2,0.05,0.25,0.2,0.3,0,0.58136048
0.15,0.2,0.2,0.3,0.15,0,0.58106783
0.25,0.2,0.1,0.25,0.2,0,0.57874891
0.2,0.2,0.1,0.2,0.3,0,0.57822549
0.25,0.15,0.15,0.25,0.2,0,0.57781712
0.2,0.05,0.3,0.35,0.1,0,0.5774539
0.2,0.1,0.25,0.3,0.15,0,0.57522752
0.2,0.1,0.2,0.2,0.3,0,0.5744988
0.2,0.15,0.15,0.2,0.3,0,0.57446627
0.05,0.25,0.1,0.3,0.3,0,0.57385071
0.2,0.15,0.05,0.3,0.3,0,0.57359262
0.25,0.2,0.05,0.2,0.3,0,0.57253796
0.15,0.1,0.25,0.25,0.25,0,0.5723573
0.1,0.05,0.3,0.3,0.25,0,0.57235255
0.3,0.15,0.1,0.25,0.2,0,0.57032882
0.2,0.15,0.2,0.3,0.15,0,0.56964738
0.05,0.25,0.15,0.25,0.3,0,0.56942448
0.3,0.1,0.15,0.25,0.2,0,0.56888269
0.15,0.2,0.05,0.3,0.3,0,0.56835242
0.2,0.1,0.25,0.35,0.1,0,0.56805869
0.15,0.35,0.05,0.3,0.15,0,0.56643207
0.2,0.2,0.15,0.3,0.15,0,0.56634474
0.15,0.2,0.2,0.35,0.1,0,0.56624946
0.1,0.1,0.25,0.25,0.3,0,0.56615567
0.15,0.05,0.3,0.3,0.2,0,0.56452909
0.2,0.25,0.1,0.3,0.15,0,0.56451883
0.2,0.3,0.05,0.3,0.15,0,0.56361097
0.35,0.15,0.05,0.25,0.2,0,0.56349703
0.1,0.2,0.2,0.3,0.2,0,0.56278544
0.35,0.1,0.1,0.25,0.2,0,0.56167761
0.2,0.15,0.2,0.35,0.1,0,0.56160482
0.25,0.15,0.15,0.3,0.15,0,0.5614891
0.25,0.1,0.2,0.35,0.1,0,0.56065541
0.25,0.2,0.1,0.3,0.15,0,0.56062839
0.15,0.15,0.2,0.25,0.25,0,0.56045362
0.2,0.05,0.15,0.25,0.35,0,0.56044945
0.35,0.05,0.15,0.25,0.2,0,0.56042368
